Transaktionsdag,Beskrivning,Belopp
2023-11-26,LEETCODE.COM,-374.02
2023-11-26,LEETCODE.COM,-1378.92
2023-11-26,PARKSALONGEN I K,-500.00
2023-11-26,HEMK�P KARLSKRON,-62.90
2023-11-26,SUBWAY,-165.00
2023-11-26,Swish PIZZABUTIKEN I K,-260.00
2023-11-25,ICA NARA VASAVAG,-28.80
2023-11-25,Swish Blekingetrafiken,-19.50
2023-11-24,COOP DROTTNINGGA,-293.98
2023-11-24,Swish Kalmar l�nstrafi,-146.50
2023-11-23,ICA NARA VASAVAG,-37.80
2023-11-23,HEJ,500.00
2023-11-24,Csn,12052.00
2023-11-22,4150122 Pressbyr,-42.00
2023-11-22,Swish mottagen +46739819748,20.00
2023-11-21,COOP VALLAPLAN,-23.95
2023-11-20,COOP DROTTNINGGA,-207.10
2023-11-20,IKEA LINKOPING H,-362.00
2023-11-19,FILMSTADEN LINK,-105.00
2023-11-19,CIOCCOLATA BISTR,-436.00
2023-11-19,COOP DROTTNINGGA,-169.72
2023-11-19,Swish Tele2 Faktura,-199.00
2023-11-19,Swish IKEA Sverige,-164.00
2023-11-19,Swish AB �stg�tatrafik,-81.60
2023-11-19,Swish mottagen +46793348165,200.00
2023-11-18,COOP DROTTNINGGA,-163.93
2023-11-17,HEMK�P LINK�PING,-40.00
2023-11-16,Swish CS-ONLINE AS,-2503.00
2023-11-16,COOP DROTTNINGGA,-236.57
2023-11-16,COOP VALLAPLAN,-25.95
2023-11-15,COOP VALLAPLAN,-25.95
2023-11-14,COOP DROTTNINGGA,-200.24
2023-11-13,HEMK�P LINK�PING,-40.00
2023-11-11,COOP DROTTNINGGA,-263.48
2023-11-10,ICA NARA VASAVAG,-58.80
2023-11-09,COOP VALLAPLAN,-51.90
2023-11-09,COOP DROTTNINGGA,-156.39
2023-11-09,COOP VALLAPLAN,-25.95
2023-11-09,Bixia,-111.00
2023-11-07,Lf �stg�ta EttSA,-153.00
2023-11-07,COOP VALLAPLAN,-25.95
2023-11-07,Swish mottagen +46739819748,25.00
2023-11-06,MAXI ICA STORMAR,-55.95
2023-11-05,Swish Kalmar l�nstrafi,-146.50
2023-11-03,ICA NARA VASAVAG,-22.90
2023-11-03,COOP VALLAPLAN,-49.45
2023-11-03,Swish Sumo Sushi,-293.00
2023-11-02,COOP DROTTNINGGA,-257.93
2023-11-02,4150122 Pressbyr,-32.00
2023-11-02,Swish mottagen +46730609905,2000.00
2023-11-01,ICA NARA VASAVAG,-34.00
